name,degree,duration,department,city,state,credit,toefl,description,gpa,areas,payment_type,payment_per_unit,total_payment,living_costs_min,living_costs_max
Data Analytics for Social Sciences,M.Sc.,24,University at Buffalo,Buffalo,New York,36.0,79,"<p>Data analysis skills have become a critical component of Social Sciences research and are sought after in the private sector. Social sciences disciplines have seen new data analysis techniques emerge over the last 10 years, both in terms of the range of relevant statistical models and the range of data made available for hypothesis testing. Many of these techniques are necessary for the next generation of social scientists.</p><p>Are you a social scientist with intellectual drive and curiosity, who wants to think more critically about the importance of data in your field? The Data Analytics for Social Sciences program of the University at Buffalo lets students apply a variety of methodologies to a discipline of their choice. If you are an interdisciplinary student who wants to add even more value to your social sciences training in the digital age, this program is for you.</p><h4>Program Overview</h4><p>This program provides students with a truly interdisciplinary approach to data analysis by exposing them to research methods and trends across different areas of social science. By combining broad exposure to data analysis with expanded work in the discipline of your choice, you will graduate as a well-rounded candidate for professional opportunities or additional academic study.</p><p>Our ultimate goal is provide students with:</p><ul><li>Statistical skills to analyze data</li></ul><ul><li>Computational skills to manipulate or model data</li></ul><ul><li>Knowledge of methods used in a social science of the student&rsquo;s choice</li></ul><ul><li>Hands-on experience in applying data analysis and modeling skills on a research project</li></ul>",3.0,"Statistics,Data Science & Big Data,Software Engineering",4,11550,46200.0,920,1560
Statistics and Data Science,M.Sc.,12,The University of Texas at San Antonio,Helotes,Texas,33.0,79,"<h4>Why pursue an M.S. in Statistics and Data Science at UTSA?</h4><p>In this age of advanced technology, there is an increasing demand for trained individuals who understand the nature or designing experiments, making predictions and forecasts, and analyzing large complex data sets. In response to this demand, the The Statistics and Data Science program of&nbsp;The University of Texas at San Antonio&nbsp;has been implemented.&nbsp;&nbsp;</p><h4>Career Options Available</h4><p>Graduates of the degree (the former MS in Mathematics with a concentration in Statistics and MS in Statistics) are employed as statisticians throughout the community at The UT Health, Fort Sam Houston, PPD Pharmaco, ILEX Oncology, USAA and Southwest Research Institute. In addition several graduates have earned doctoral degrees at such schools as the University of North Carolina at Chapel Hill, Southern Methodist University and the University of Chicago. The MS in Statistics and Data Science will further enhance job opportunities for its graduates with the emphasis on applied courses and the implementation of statistical methodologies using SAS and R.</p>",3.0,"Statistics,Data Science & Big Data",2,16068,16068.0,0,0
Information Security and Assurance,M.Sc.,12,George Mason University,Fairfax,Virginia,30.0,80,"<p>Graduates work in a wide variety of capacities, protecting the information systems of different types of organizations and supporting the nation&#039;s information infrastructure.&nbsp;</p><h4>Key Features&nbsp;</h4><ul><li>The Master of Science in Information Security and Assurance at George Mason University&nbsp;provides students with the general and technical knowledge and skills to understand the relationship between information security and advancing information systems technology.&nbsp;</li></ul><ul><li>The program gives graduates a theoretical understanding of the science and methodologies for ensuring the secrecy and integrity of data, as well as the availability and legitimate use of data and information systems.</li></ul>",3.0,"Informatics & Information Sciences,IT Security",4,25430,50860.0,1330,2300
Business Cybersecurity Management,M.Sc.,24,West Virginia University,Morgantown,West Virginia,60.0,79,"<p>In today&#039;s world there is a significant need for cybersecurity professionals in both business and government to combat intellectual property theft, credit card fraud, pirated content, data theft, malware, ransomware, and more.&nbsp;</p><h4>Program highlights</h4><p>The online graduate degree in Business Cybersecurity Management at&nbsp;West Virginia University, offered through the WVU College of Business and Economics, gives students the skills they need to become cybersecurity professionals and to adapt to growing changes in security technology.</p>",3.0,"Computer Sciences,Human Computer Interaction,IT Security",4,12420,49680.0,775,1290
Computer Science,M.Sc.,12,The City University of New York,New York City,New York,36.0,80,<h4>The Computer Science program at&nbsp;The City University of New York is offered for:&nbsp;</h4><ul><li>recent graduates who wish to continue their studies while beginning their professional careers;&nbsp;</li><li>individuals presently employed in computer-related fields who wish to qualify for advanced career opportunities or training; and&nbsp;</li><li>individuals who seek a career change.</li></ul>,3.0,Computer Sciences,1,855,30780.0,1819,3968
Computer Science - Game Development,M.Sc.,24,University of Southern California,Los Angeles,California,32.0,90,"<p>Infrastructure is researching and developing the software and hardware infrastructure necessary for the development of the future of interactive games and large-scale simulations; massively multiplayer online games (MMOGs) and simulation networks; game engines and tools; instant games; wireless and mobile games and infrastructures; next generation consoles.</p><p>Cognition and games is developing theories for modeling and simulating computer characters and story; developing methods for modeling, simulating and displaying human emotion; analyzing large- scale game play; developing theories for infusing pedagogy with game play.</p>Immersion is researching and developing the technologies to engage the mind of the game player via sensory stimulation; reading the human emotional state and providing that as an input to the game; emotionally adaptive game software architectures.<p>Serious games and simulations is developing a theory for the deployment of games and simulations for purposes of education and training, health, public policy and strategic communication; game evaluation; serious game development; human performance engineering.</p><h4>What you will learn</h4><p>Students graduating from this&nbsp;Computer Science - Game Development MSc program offered at University of Southern California will be capable of engineering next generation games and simulations and their required technologies immediately upon graduation in the entertainment and serious game fields. Additionally, graduates from this program will be able to further their education in graduate programs in game development and computer science.&nbsp;</p><p>The long-term goal with this MS degree is to establish research and development directions that create a science of games, and an accompanying archival literature that improves game development for both serious and entertainment purpose.</p>",3.0,"Video Games & Multimedia,Computer Sciences,Web Technologies & Cloud Computing",1,2199,70368.0,1520,2570
Cybersecurity,M.Sc.,12,The University of Tampa,Tampa,Florida,32.0,90,"<p>With small class sizes and a cutting-edge cybersecurity lab, this specialized graduate program emphasizes hands-on learning using real-world tools and virtual environments.</p><p>The curriculum of the&nbsp;Cybersecurity program of The University of Tampa&nbsp;covers critical topics in cybersecurity and gives students the option of taking valuable courses in project management, business analytics, enterprise systems and SAP certification. The program is also ideal for those wishing to advance in the fields of law enforcement, criminology, criminal justice, forensics, law and government.</p><h4>Topics of Study</h4><ul><li>Cloud Systems Security</li></ul><ul><li>Secure Software Design</li></ul><ul><li>Incident Response Management</li></ul><ul><li>Penetration Testing</li></ul><ul><li>Risk Assessment and Contingency Planning</li></ul><ul><li>Technology Governance and Security Leadership</li></ul><ul><li>Cybersecurity Research</li></ul><ul><li>Digital Forensics</li></ul><ul><li>Project Management</li></ul><ul><li>Security Standards and Compliance</li></ul><ul><li>Business Analytics</li></ul><h4>Benefits</h4><ul><li>Gain the credentials to excel in the fast-growing cybersecurity industry</li></ul><ul><li>Differentiate yourself in the fields of business, technology, law enforcement, forensics, government, analytics and more</li></ul><ul><li>Curriculum is based on top professional certifications in the field</li></ul><ul><li>Develop the foundation for future doctoral studies or research-based positions</li></ul><ul><li>Flexible curriculum and schedule is ideal for working professionals</li></ul><ul><li>All courses taught on campus by Ph.D.-level cybersecurity experts</li></ul>",3.0,"Computer Sciences,IT Security,Cyber Security",1,655,20960.0,1122,1951
Computer Science,M.Sc.,24,University of Florida,Gainesville,Florida,30.0,80,"<h4>The CISE Department has six broad areas of specialization:</h4><ul><li>Computer systems: computer architecture, distributed systems, networks and communication, operating systems, performance evaluation, security, mobile computing, software engineering, programming languages, multimedia systems, and web technologies</li><li>Database and information systems: database management systems, database design, database theory and implementation, data mining, database machines, parallel and distributed databases, digital libraries, E-services and commerce, medical, and bio-informatics</li><li>High-performance computing/applied algorithms: design and analysis of algorithms, data structures, parallel and distributed computing, medical algorithms, numerical methods, computational complexity, and applied computational geometry</li><li>Computer graphics, modeling, and art: modeling methodology, simulation, virtual reality, aesthetic computing, computer arts, animation, real-time rendering, medical modeling, digital media, and musical acoustics</li><li>Intelligent systems and computer vision: artificial intelligence, machine learning, visualization, image analysis and processing, pattern recognition, signal processing, biomedical imaging, and image databases</li></ul><ul><li>Computer networks and security: wired and wireless networks, network routing and protocols, and QoS.</li></ul>The department offers graduate study and research in Algorithms, Computer Vision, Databases, Graphics and Modeling, Machine Learning, Networks, and Systems, with active labs in Bioinformatics; Computational Science and Intelligence; Vision, Graphics and Medical Imaging; Database Systems Research and Development; Data Science Research; Mobile and Pervasive Computing; Human-Centered Computing; and Cybersecurity. The Computer Science program is offered at&nbsp;University of Florida.",3.0,"Computer Sciences,Software Engineering,Machine Learning",2,30134,60268.0,900,1335
Information Technology and Management,M.Sc.,12,Illinois Institute of Technology,Chicago,Illinois,30.0,90,"<p>Courses are taught by experienced faculty using a hands-on, reality-based approach to education in which students apply what they learn in class to solve real-life problems. The program curriculum is a blend of theoretical content and practical application with projects and laboratory-based instruction in which students learn and then do it. The Master of Information Technology and Management program is designed to broaden and deepen students&#039; knowledge of new and emerging information technologies, the application and integration of these technologies, and the administrative practices used in the effective management of these technologies.</p><h4>Program Overview</h4><p>The Master of Information Technology and Management offers eight specializations targeting specific careers with 100-plus courses taught by experienced faculty using a hands-on, reality-based approach to education in which students apply what they learn in class to solve real-life technical problems.</p><h4>Career Opportunities</h4><p>Graduates of the Master of Information Technology and Management program at the&nbsp;Illinois Institute of Technology can fill a variety of roles within the industry, including:&nbsp;</p><ul><li>Data analyst</li><li>Digital system architect</li><li>Information systems manager</li><li>Information systems and technology manager</li><li>Business systems analyst</li><li>Voice/data system analyst</li><li>Software developer</li><li>Mobile application developer</li></ul>",3.0,"Informatics & Information Sciences,Software Engineering",1,1614,48420.0,1297,2491
Computer Engineering,M.Sc.,12,Northwestern University,Evanston,Illinois,30.0,90,"<p>The department&nbsp;at Northwestern University&nbsp;has a wide variety of graduate programs leading to the master of science in&nbsp;Computer Engineering&nbsp;or PhD degree. The broad research interests of our faculty members creates a learning environment in which students are exposed to interdisciplinarity on a scope and scale that is rare among other programs and departments.</p><h4>Student Groups &amp; Organizations</h4><p>Student groups and organizations provide an important opportunity to develop leadership skills and create opportunities to network with their fellow students, as well as faculty members, staff, and professionals in the field.</p><h4>Career Paths</h4><p>Students who earn the master of science in computer engineering program gain a competitive edge over their peers, working in fields such as system design and specification; university teaching and research; sales; cost analysis; management; component design, research, and development; and consulting, production, and quality control.</p><p>Many graduates of the master of science in Computer Engineering program go on to further graduate study at PhD-granting institutions.</p>",3.0,"General Engineering & Technology,Computer Sciences,Software Engineering",4,19343,38686.0,1100,1500
Applied Statistics,M.Sc.,24,Rochester Institute of Technology,Rochester,New York,30.0,79,"<p>The Applied Statistics program of Rochester Institute of Technology&nbsp;is available to both full- and part-time students with courses available both on-campus and online. Cooperative education is optional. The program is intended for students who do not wish to pursue a degree beyond the MS. However, a number of students have attained doctorate degrees at other universities.</p><h4>Areas of concentration</h4><ul><li>Clinical Trails</li></ul><ul><li>Data Mining/Machine Learning</li></ul><ul><li>Industrial Statistics</li></ul><ul><li>Informatics</li></ul><h4>Typical Job Titles</h4><ul><li>Quality Engineer</li></ul><ul><li>Quality Manager</li></ul><ul><li>Continuous Improvement Engineer</li></ul><ul><li>Reliability Analyst</li></ul><ul><li>Statistical Consultant</li></ul><ul><li>Data Science Consultant</li></ul>",3.0,"Applied Mathematics,Statistics,Machine Learning",2,52092,104184.0,925,1350
Software Engineering,M.Sc.,12,Kennesaw State University,Kennesaw,Georgia,36.0,80,"<p>The Software Engineering program at the&nbsp;Kennesaw State University consists of seven required courses and a number of electives.&nbsp;</p><p>You can either take the project option, under which you complete four elective courses and a software engineering capstone project; or the thesis option, under which you complete three elective courses as well as a thesis.&nbsp;</p><h4>Key Features&nbsp;</h4><ul><li>You must have at least a bachelor&#039;s degree to enter the program.</li></ul><ul><li>To meet the needs of working adults, courses in the program are available both face-to-face and online.</li></ul>",2.75,"General Engineering & Technology,Computer Sciences,Software Engineering",4,6396,12792.0,900,1400
Geoinformatics and Geospatial Intelligence,M.Sc.,12,George Mason University,Fairfax,Virginia,33.0,88,"<p>This Geoinformatics and Geospatial Intelligence program from George Mason University focuses primarily on the computational approaches that support the synthesis and analysis of diverse types of data in order to identify and monitor complex events and phenomena that manifest over space and time.&nbsp;</p><p>While geospatial intelligence has a strong Department of Defense connotation, the principles behind it have a significant dual use potential, addressing the needs of a broader audience, ranging for example from intelligent navigation in urban spaces to emergency response systems for natural and man-made disasters.</p><h4>Learning Outcomes&nbsp;</h4><p>The MS is designed to expose students to fundamental theoretical principles and practical applications involving:</p><ul><li>Geographic Information Science</li></ul><ul><li>Digital image analysis as it applies to geoinformatics and geospatial intelligence</li></ul><ul><li>Computational principles for geoinformatics and intelligence</li></ul>",3.0,"Geography,Geology,Geographical Information Systems (GIS)",4,25430,50860.0,1330,2300
Computer Science,M.Sc.,12,Stony Brook University,New York City,New York,30.0,90,"<h4>Key Features</h4><p>The program concentrates primarily on applied computer science, emphasizing software development, programming, computer systems, and applications. Each student is given the experience of working on a large-scale software or hardware development project involving analysis, design, evaluation, and implementation.</p><p>The Computer Science Department at&nbsp;Stony Brook University is composed of a number of special interest labs (Visualization, Experimental Systems, Logic Modeling, Security Systems, File systems, Human Interface with Computers, Wireless Networking and Multimedia) connected by a multi-gigabyte backbone. Typical systems are PCs running FreeBSD, Linux,, MS Windows, and Sun Sparc systems.&nbsp;</p><p>There are numerous multiprocessor/large memory systems including a graphics cluster of Linux and MS Windows PC&rsquo;s. General access labs provide Unix and MS Windows systems, and each office desktop is equipped with a workstation. The department maintains its own dial-up service and wireless network. The Stony Brook campus is connected to the Internet via multiple OC3 connections.</p>",3.0,Computer Sciences,4,23562,47124.0,1819,3968
Biomedical Data Science and Informatics,M.Sc.,12,Clemson University,Clemson,South Carolina,30.0,79,"<p>Biomedical Data Science and Informatics graduates at&nbsp;Clemson University will possess the necessary skills for informatics careers in biology, medicine or public health focused on the development of prescriptive analytics from large data sources.&nbsp;</p><h4>Learning outcomes</h4><p>The program is designed for students with undergraduate computer science, math, engineering, or biomedical sciences backgrounds who wish to make a contribution to biomedical sciences or individual and societal health.</p>",3.0,"Biomedicine,Data Science & Big Data,Bioinformatics",4,13425,26850.0,1104,1921
Information Systems,M.Sc.,24,Dakota State University,Madison,Alabama,30.0,76,"<h4>Learning outcomes</h4><p>Upon completion of the MS degree in Information Systems, students at the&nbsp;Dakota State University&nbsp;will:</p><ul><li>Be able to perform the tasks of an Information Systems professional</li><li>Be able to successfully adapt to new environments and technologies</li><li>Be able to demonstrate knowledge of information systems and a selected specialization</li><li>Be able to understand and apply current and emerging computer software technologies including</li><li>CASE programming, database management, Internet and electronic commerce, and network operating environments</li><li>Be able to translate user requirements into effective computer-based systems</li><li>Be able to understand the effective management of information systems applications</li></ul>",2.7,"Computer Sciences,IT Security",1,616,18480.0,850,1300
Informatics (with Concentration in Geoinformatics),M.Sc.,12,Emporia State University,Kansas City,Kansas,30.0,90,"<p>The Informatics (with Concentration in Geoinformatics) concentration teaches students how to find the data necessary to analyze a question related to geographic location.&nbsp;</p><h4>The programme</h4><p>Our program at&nbsp;Emporia State University uniquely combines geographic information systems, remote sensing, informatics, programming, and statistical analysis all into a single MS program. Environmental risk assessment, natural resource management, precision farming, energy exploration, urban planning, and infrastructure management are all examples of uses of geoinformatics.</p>",3.0,"Mathematics,Informatics & Information Sciences,Geographical Information Systems (GIS)",2,13159,13159.0,900,1400
Applied Health Sciences Informatics,M.Sc.,12,Johns Hopkins University,Baltimore,Maryland,60.0,100,"<h4>Using the informatics competency task force of the CDC, we presume that the health sciences informatician should be capable of developing or leading innovative applications of information technology and information systems that address biological, clinical, or public health priorities. The Applied Health Sciences Informatics&nbsp;program is offered at Johns Hopkins University.</h4>",3.51,"Health Sciences,Health Informatics",2,58000,58000.0,1240,2100
Electrical and Computer Engineering,M.Sc.,24,Fairfield University,Fairfield,Connecticut,30.0,80,"<p>The Fairfield University&#039;s program includes areas of power and power electronics, and combines the study, design, and use of software and hardware systems.&nbsp;</p><p>As a student, you&rsquo;ll also learn system and product engineering, hardware and software design, embedded systems, communications, control systems, computer architecture, and visualization and multimedia systems. You&rsquo;ll be challenged with a multitude of learning tasks, including writing embedded software, working with analog sensors, and designing mixed signal circuit boards&nbsp;giving you the necessary education and skills to fulfill your career endeavors.</p><h4>Career &amp; Professional Opportunities</h4><p>Through Fairfield&#039;s MS in Electrical and Computer Engineering&nbsp; program, you&#039;ll develop skills in the design of high-tech devices ranging from tiny microelectronic integrated-circuits to powerful systems that use those chips, and efficient telecommunication devices that interconnect those systems. You&#039;ll also pick up skills in:</p><ul><li>Electronic product design</li></ul><ul><li>The architecture of microelectronics</li></ul><ul><li>Systems Design</li></ul><ul><li>Communications Systems</li></ul><ul><li>Power and Power Electronics</li></ul><ul><li>Signal Processing</li></ul><ul><li>Scientific Visualization</li></ul><ul><li>Embedded Systems</li></ul><ul><li>Enterprise Computing</li></ul>",3.0,"Electrical Engineering,Computer Sciences",1,900,27000.0,1736,2740
Data Analytics,M.Sc.,12,Tufts University,Medford,Massachusetts,30.0,80,"<p>The interdisciplinary Master of Science in Data Analytics at&nbsp;Tufts University is guided by an advisory board of professionals in the field, who help ensure the program provides rigorous courses in the analytical skills that are sought after across the arts, humanities, and sciences as well as within the business community.&nbsp;</p><h4>Learning outcomes</h4><p>The program is offered on both a full-time or part-time schedule for working professionals who are looking to build expertise in the field of data analytics. Most students complete the program in two years, but it can be completed in one year with accelerated study.&nbsp;</p>",3.0,Data Science & Big Data,3,54196,54196,1458,3019
Electrical Engineering,M.Sc.,12,Texas A&M University - Kingsville,Kingsville,Texas,30.0,79,"<h4>Key Feature</h4><p>The Department of Electrical Engineering and Computer Science invites you to explore the program leading to Electrical Engineering program at Texas A&amp;M University - Kingsville.</p><p>Electrical engineering (EE) is one of the fastest growing disciplines in science and engineering disciplines. Modern electrical engineering has shown strong combination of traditional electrical engineering with computer engineering in both computer hardware and software, resulting in many positions opening to electrical engineers. Electrical engineering graduates usually command higher starting salaries. Some of the more common of these are: artificial intelligence, communication engineers, computer engineers, computer vision, control engineers, power engineers, instrumentation engineers, digital design engineers, and robotics.</p>",3.0,"Electrical Engineering,General Engineering & Technology,Artificial Intelligence",4,13763,27526.0,921,1707
Computer Engineering,M.Sc.,12,Atlantis University,Bisbee,Arizona,30.0,70,"<p>Computer Engineering is the application of technology in the synthesis of systems for control, computation and communication. This program focuses on the design, analysis, and application of computers and on their applications as components of systems.</p><p>Atlantis University provides students with inspiration and quality education in the theory and practice of computer engineering. As technology rapidly advances this degree prepares graduates with the knowledge necessary to compete in the ever changing technological landscape. management profession.</p><p>The School of Information Technology and Engineering Sciences offers the Master of Science in Computer Engineering to prepare graduates for careers in telecommunications, industry, government, education, networking and software development.</p><p>Focusing on principles and concepts underlying the design and integration of hardware and software components and systems, the Master of Science in Computer Engineering degree gives the graduates the tools to become competitive professionals, confident in electronically controlled systems and devices.</p><h4>Program Objective</h4><p>Graduates of the Computer Engineering at Atlantis University who choose to pursue a career in telecommunications, industry, government, education, networking, and software development will become successful engineers, scientists, or educators who demonstrate strong leadership, technical, and team skills. They will also be committed to continuing professional development.</p>",3.0,"Electronics & Embedded Technology,Computer Sciences,Software Engineering",2,22176,22176.0,800,1300
Cybersecurity,M.Sc.,12,California State University San Marcos,San Marcos,California,38.0,80,"<h4>Program of Study</h4><p>The&nbsp;Cybersecurity program offered by the&nbsp;California State University San Marcos is a blend of technical courses and business courses with a capstone project. The objective of the program is to train an expertly skilled workforce to fulfill the imminent needs of the emerging and evolving cybersecurity industry. The program is designed to prepare those with strong background in computer science for management positions in cybersecurity such as the manager of the information security department, the director of risk assessment and compliance, the chief information security officer, the director of IT security, and project managers of security related projects.</p><p>Throughout the program, students will be exposed to real-world problems/cases, leading-edge technologies, managerial/interpersonal skills, ethics and governance knowledge, and problem-solving skills.</p><p>The rigorous program is taught online to accommodate the working student. The program design is a cohort model that requires students to go through the program together over a five-semester period with a predetermined course sequence. It is a non-thesis degree program requiring a rigorous &ldquo;Internship or Semester-in-Residence&rdquo; project as culminating experience.</p><p>Each student will be guided and evaluated by an Advisory Committee that will be made up of university faculty, program instructors, and industry mentors, as well as program advisors.</p>",3.0,IT Security,2,16680,16680.0,1100,1600
Cybersecurity,M.Sc.,24,Sacred Heart University,Fairfield,Connecticut,30.0,80,"<h4>In the masters in Cybersecurity program at Sacred Heart University, you will also:</h4><ul><li>Become proficient in products and applications that prohibit cyber threats</li><li>Learn effective technology risk management practices</li><li>Identify new and existing threats and determine methods for mitigation</li><li>Build secure and defendable systems</li><li>Analyze cybersecurity risks and apply real-world solutions</li><li>Learn to address and stop ever-changing security threats and infiltration techniques</li><li>Perform cybersecurity research&nbsp;</li><li>Gain hands-on experience with security tools</li><li>Benefit from networking opportunities</li><li>Learn from&nbsp;expert faculty&nbsp;who are industry professionals with more than 50 years of combined experience in cybersecurity</li><li>Study full- or part-time</li><li>Be part of SHU&rsquo;s&nbsp;Jack Welch College of Business &amp; Technology, one of fewer than five percent of elite business schools worldwide accredited by AACSB International</li><li>Graduate prepared for a career in the rapidly growing STEM field, where employment demand and salaries are high</li></ul>",3.0,"Computer Sciences,IT Security,Cyber Security",1,945,28350.0,1736,2740
Electrical Engineering - Wireless Networks,M.Sc.,24,University of Southern California,Los Angeles,California,28.0,90,"<p>The University of Southern California is one of the world&rsquo;s leading private research universities. An anchor institution in Los Angeles, a global center for arts, technology and international business, USC&rsquo;s diverse curricular offerings provide extensive opportunities for interdisciplinary study and collaboration with leading researchers in highly advanced learning environments.</p><p>The&nbsp;Electrical Engineering - Wireless Networks MSc program offered at&nbsp;University of Southern California&nbsp;combines courses related to radio hardware, transmission techniques, the medium-access control layer, networking, applications, and standards.</p><h4>Career Opportunities</h4><ul><li>Amazon&nbsp; -&nbsp; Software Development Engineer</li><li>Apple, Inc.&nbsp; -&nbsp; ASIC Design Engineer</li><li>Apple, Inc.&nbsp; -&nbsp; Hardware Design Engineer</li><li>Cisco Systems&nbsp; -&nbsp; Software Engineer</li><li>Facebook, Inc.&nbsp; -&nbsp; Research Scientist</li><li>Google&nbsp; -&nbsp; Applications Software Engineer</li><li>Huawei&nbsp; -&nbsp; Camera Algorithm Engineer</li><li>Intel&nbsp; -&nbsp; CPU Validation Engineer</li><li>Samsung Electronics Co., Ltd.&nbsp; -&nbsp; Senior Research Engineer</li><li>Microsoft&nbsp; -&nbsp; Hardware Engineer</li></ul>",3.0,"Electrical Engineering,Computer Sciences,Digital Communication",1,2199,61572.0,1520,2570
Applied Physics and Computer Science,M.Sc.,12,Christopher Newport University,Newport News,Virginia,30.0,92,"<p>The CNU master&rsquo;s program in&nbsp;Applied Physics and Computer Science offers students with a bachelor&rsquo;s degree a significant step&nbsp;in their maturing as scientists.&nbsp;</p><p>Given the interdisciplinary nature of the department, the thesis opportunities are exceptionally&nbsp;varied, including software and/or hardware projects drawn from faculty research areas including: nuclear physics, space&nbsp;science, cyber security, cryptography, human-machine interfaces, robotics, machine learning, virtual and augmented reality,&nbsp;data analysis, visualization, science education and software engineering. Some research is conducted offsite at national&nbsp;facilities including the NASA Langley Research Center and the Thomas Jefferson National Accelerator Facility</p><h4>Mission</h4><p>The mission of Christopher Newport University is to provide educational and cultural opportunities that benefit CNU students, the residents of the Commonwealth of Virginia and the nation.</p><p>Christopher Newport provides outstanding academic programs, encourages service and leadership within the community, and provides opportunities for student involvement in nationally and regionally recognized research and arts programs.</p><p>Our primary focus is excellence in teaching, inspired by sound scholarship. At CNU, personal attention in small classes creates a student-centered environment where creativity and excellence can flourish. Our primary emphasis is to provide outstanding undergraduate education. We also serve the Commonwealth with master&rsquo;s degree programs that provide intellectual and professional development for graduate-level students.</p>",3.0,"Cyber Security,Software Engineering,Machine Learning",1,1190,35700.0,0,0
Data Science,M.Sc.,12,George Washington University,"Washington, D. C.","Washington, D.C.",30.0,80,"<h4>Key facts</h4><p>The explosion of data in today&rsquo;s world is rapidly shaping the landscape of our life. This has led to an urgent need to process massive amounts of data and obtain meaningful information. Data scientists are trained to meet such challenges. Through a structured curriculum that provides foundational knowledge as well as application skills, our students learn how to confront the most complex problems facing government and private industry.</p><p>The STEM-designated Data Science Program at George Washington University is offered at both the Foggy Bottom and Virginia Science &amp; Technology campuses.</p>",3.0,"Data Science & Big Data,Software Engineering",1,1825,54750.0,1705,2975
Computer Science,M.Sc.,24,University of North Dakota,Grand Forks,North Dakota,30.0,76,"<p>The fastest route from idea to application in technology today requires expertise in both abstract and practical thinking. With this graduate program, you&rsquo;ll gain a well-rounded skillset that can help you lead the way in overcoming challenges and creating new computing innovations.</p><h4>Why Earn a Master&#039;s Degree in Computer Science from University of North Dakota?</h4><p>Understanding both the abstract and practical applications of technology will help you to develop the computer science skills that are sought after in today&#039;s fast-paced world. You&#039;ll better understand underlying theoretical issues along with implementation factors, while using the latest software platforms and systems.</p><p>Through this master&#039;s degree program in computer science, you&#039;ll take in a holistic view of the latest innovations and trends with studies in advanced modeling and simulation, artificial intelligence, algorithms, database systems, software engineering and design, advanced computer graphics, and more. It&#039;s exactly the preparation you need for today&#039;s high-demand tech careers.</p>",2.75,"Computer Sciences,Software Engineering,Artificial Intelligence",2,24193,48386.0,1000,2180
Applied Computer Science,M.Sc.,12,Southeast Missouri State University,Cape Girardeau,Missouri,30.0,79,"<h4>What you&#039;ll do:</h4><p>In the&nbsp;Applied Computer Science program of Southeast Missouri State University students will be able to:</p><ul><li>Master the knowledge of the most up-to-date&nbsp;technologies</li></ul><ul><li>Use a wide array of technical skills to develop&nbsp;software applications that demand performance,&nbsp;reliability, and safety standards</li></ul><ul><li>Engage in primary and secondary research</li></ul><ul><li>Develop critical reasoning and technical writing&nbsp;skills</li></ul><h4>Internships &amp; Career Opportunities</h4><ul><li>Software Comapanies&nbsp;</li></ul><ul><li>Large Businesses&nbsp;</li></ul><ul><li>Corporations&nbsp;</li></ul><ul><li>Development Companies</li></ul>",3.0,"Computer Sciences,Software Engineering",1,557,16710.0,800,1300
Computing and the Arts,M.Sc.,12,Yale University,New Haven,Connecticut,30.0,100,"<p>The MS Program is also suitable for students interested in undertaking a research project but who are not sure yet whether they want to make the multi-year commitment to a PhD program.</p><h4>Features</h4><p>The purposes of the Computing and the Arts track within the Computer Science program from&nbsp;Yale University, is to expand the student&rsquo;s depth of knowledge substantially beyond the BA/BS in Computer Science or related field.&nbsp; The Yale Computer Science MS offers students the unique opportunity to study with faculty in small classes, and on a one to one basis.</p><p>Students entering the MS program must first be admitted to the Yale MS program in Computer Science.&nbsp;</p>",3.0,"Liberal Arts,Computer Sciences",2,44500,44500.0,1380,2110
Quantum Information Science,M.Sc.,12,University of Southern California,Los Angeles,California,28.0,90,"<p>An anchor institution in Los Angeles, a global center for arts, technology and international business, USC&rsquo;s diverse curricular offerings provide extensive opportunities for interdisciplinary study and collaboration with leading researchers in highly advanced learning environments.</p><h4>Curriculum requirements</h4><p>The Quantum Information Science MSc program offered at University of Southern California requires a minimum of 28 graduate units with at least 20 units at the 500 level. A minimum grade point average of 3.0 must be earned on all course work applied toward the degree. This average must also be achieved on all 400-level and above course work attempted at USC beyond the bachelor&#039;s degree. A maximum of 4 units of Directed Research (590 or 790) may be counted toward the degree. A maximum of 4 transfer units count as credit (CR) toward the master&#039;s degree and are not computed in the grade point average.</p>",3.0,"Mathematics,Chemistry,Data Science & Big Data",4,30223,60446.0,1520,2570
Information Technology,M.Sc.,12,The University of North Carolina at Charlotte,Charlotte,North Carolina,30.0,83,"<h4>Areas of Study</h4><p>The current areas of concentration in the&nbsp;Information Technology program of&nbsp;The University of North Carolina at Charlotte&nbsp;include:&nbsp;</p><ul><li>Advanced Data and Knowledge Discovery</li></ul><ul><li>Emerging Technologies, Human-Centered Design</li></ul><ul><li>Information Security and Privacy</li></ul><ul><li>Information Technology Management</li></ul><ul><li>Software Systems Design and Engineering</li></ul><ul><li>Web Development</li></ul><h4>Degree Requirements</h4><p>Students entering the MSIT program are required to have completed a baccalaureate degree from a college or university accredited by an accepted accrediting body and have acquired substantial experience in studying, applying, or developing information and computing technology. Such experience may be developed by completing an undergraduate major in a discipline related to information technology, including but not limited to, business information systems, computer engineering, computer science, data communication, information management, information technology, mathematical and physical sciences, and software engineering. For applicants who have an undergraduate major not directly related to computing, the experience may be acquired through work, professional training, or further education such as post baccalaureate studies.</p>",3.0,"Informatics & Information Sciences,Software Engineering",4,6664,13328.0,1133,2060
